date,time,pid,tid,Phase,Target,Vel,V,A,,
9/26/2025,10:56.2,5399,9060,RampUp,848.8451478199999,860,12.751,273,,1.3%
9/26/2025,10:56.2,5399,9060,RampUp,850.3501829600001,860,12.751,269,,1.1%
9/26/2025,10:56.2,5399,9060,RampUp,851.9029115,840,12.751,273,,-1.4%
9/26/2025,10:56.2,5399,9060,RampUp,853.5499241199999,860,12.756,273,,0.8%
9/26/2025,10:56.2,5399,9060,RampUp,855.1070626399999,840,12.756,277,,-1.8%
9/26/2025,10:56.2,5399,9060,RampUp,856.6284310200001,860,12.751,269,,0.4%
9/26/2025,10:56.3,5399,9060,RampUp,858.1802612,840,12.751,273,,-2.1%
9/26/2025,10:56.3,5399,9060,RampUp,860.0232739,860,12.751,273,,0.0%
9/26/2025,10:56.3,5399,9060,RampUp,861.5940916,860,12.756,266,,-0.2%
9/26/2025,10:56.3,5399,9060,RampUp,863.2916967199999,840,12.751,273,,-2.7%
9/26/2025,10:56.3,5399,9060,RampUp,865.0627611200001,840,12.756,266,,-2.9%
9/26/2025,10:56.3,5399,9060,RampUp,866.9435854,840,12.751,273,,-3.1%
9/26/2025,10:56.3,5399,9060,RampUp,868.6727139000002,840,12.751,298,,-3.3%
9/26/2025,10:56.3,5399,9060,RampUp,870.3386733000001,860,12.756,313,,-1.2%
9/26/2025,10:56.4,5399,9060,RampUp,872.2918134399999,860,12.751,309,,-1.4%
9/26/2025,10:56.4,5399,9060,RampUp,874.6507145999999,880,12.747,295,,0.6%
9/26/2025,10:56.4,5399,9060,RampUp,876.2582822400001,880,12.751,291,,0.4%
9/26/2025,10:56.4,5399,9060,RampUp,877.8237915,880,12.751,284,,0.2%
9/26/2025,10:56.4,5399,9060,RampUp,879.3438941400001,880,12.751,280,,0.1%
9/26/2025,10:56.4,5399,9060,RampUp,881.0378242800001,900,12.751,280,,2.2%
9/26/2025,10:56.4,5399,9060,RampUp,882.5142352999999,900,12.751,280,,2.0%
9/26/2025,10:56.4,5399,9060,RampUp,883.9852563200002,900,12.751,273,,1.8%
9/26/2025,10:56.4,5399,9060,RampUp,885.6979698399998,900,12.751,277,,1.6%
9/26/2025,10:56.5,5399,9060,RampUp,887.0771974799999,900,12.751,277,,1.5%
9/26/2025,10:56.5,5399,9060,RampUp,888.6159609999999,900,12.751,277,,1.3%
9/26/2025,10:56.5,5399,9060,RampUp,890.0988236400001,900,12.756,277,,1.1%
9/26/2025,10:56.5,5399,9060,RampUp,891.5816045199999,900,12.751,273,,0.9%
9/26/2025,10:56.5,5399,9060,RampUp,893.0703064200001,900,12.751,273,,0.8%
9/26/2025,10:56.5,5399,9060,RampUp,894.8868590600001,900,12.751,273,,0.6%
9/26/2025,10:56.5,5399,9060,RampUp,896.7252576,900,12.751,277,,0.4%
9/26/2025,10:56.5,5399,9060,RampUp,898.3429110999999,900,12.751,273,,0.2%
9/26/2025,10:56.6,5399,9060,RampUp,899.9725287399999,900,12.756,277,,0.0%
9/26/2025,10:56.6,5399,9060,RampUp,901.5773606,900,12.751,277,,-0.2%
9/26/2025,10:56.6,5399,9060,RampUp,903.5112682799999,900,12.756,273,,-0.4%
9/26/2025,10:56.6,5399,9060,RampUp,905.1180192999999,900,12.751,273,,-0.6%
9/26/2025,10:56.6,5399,9060,RampUp,906.7261178,900,12.751,280,,-0.7%
9/26/2025,10:56.6,5399,9060,RampUp,908.7641913399999,900,12.751,273,,-1.0%
